Date,Open,High,Low,Close,Adj Close,Volume
1993-10-27,3.25,3.25,3.203125,3.203125,2.3293728828430176,40000
1993-10-28,3.203125,3.25,3.203125,3.25,2.3634607791900635,90400
1993-10-29,3.25,3.34375,3.234375,3.328125,2.4202754497528076,408800
1993-11-01,3.3125,3.3125,3.296875,3.3125,2.4089109897613525,64000
1993-11-02,3.3125,3.3125,3.265625,3.3125,2.4089109897613525,287200
1993-11-03,3.296875,3.296875,3.265625,3.296875,2.3975489139556885,40800
1993-11-04,3.265625,3.28125,3.25,3.25,2.3634607791900635,53600
1993-11-05,3.234375,3.234375,3.1875,3.1875,2.318010091781616,114400
1993-11-08,3.21875,3.21875,3.1875,3.21875,2.3407363891601562,150400
1993-11-09,3.1875,3.234375,3.1875,3.203125,2.3293728828430176,77600
1993-11-10,3.1875,3.1875,3.140625,3.171875,2.3066458702087402,95200
1993-11-11,3.140625,3.171875,3.140625,3.15625,2.2952849864959717,68800
1993-11-12,3.15625,3.203125,3.140625,3.140625,2.283921957015991,271200
1993-11-15,3.140625,3.140625,3.140625,3.140625,2.283921957015991,11200
1993-11-16,3.125,3.171875,3.125,3.15625,2.2952849864959717,127200
1993-11-17,3.125,3.125,2.984375,2.984375,2.1702942848205566,299200
1993-11-18,2.96875,2.984375,2.96875,2.96875,2.158931016921997,20000
1993-11-19,2.96875,2.96875,2.921875,2.921875,2.124842405319214,27200
1993-11-22,2.90625,2.921875,2.90625,2.921875,2.124842405319214,11200
1993-11-23,2.921875,2.953125,2.90625,2.9375,2.1362063884735107,39200
1993-11-24,2.9375,3.0,2.9375,3.0,2.1816565990448,162400
1993-11-26,3.03125,3.109375,3.03125,3.109375,2.2611958980560303,76800
1993-11-29,3.125,3.140625,3.09375,3.09375,2.2498340606689453,27200
1993-11-30,3.09375,3.09375,3.078125,3.078125,2.2384703159332275,60800
1993-12-01,3.09375,3.09375,3.046875,3.046875,2.2157442569732666,140800
1993-12-02,3.015625,3.015625,3.0,3.015625,2.193019151687622,100800
1993-12-03,3.0,3.0,3.0,3.0,2.1816565990448,28000
1993-12-06,3.0,3.046875,3.0,3.03125,2.2043814659118652,40800
1993-12-07,3.015625,3.015625,2.90625,2.921875,2.124842405319214,240000
1993-12-08,2.890625,2.9375,2.890625,2.890625,2.102116584777832,128800
1993-12-09,2.875,2.890625,2.84375,2.875,2.0907540321350098,180800
1993-12-10,2.875,2.890625,2.859375,2.890625,2.102116584777832,204800
1993-12-13,2.875,2.9375,2.875,2.9375,2.1362063884735107,121600
1993-12-14,2.96875,3.046875,2.96875,3.0,2.1816565990448,304800
1993-12-15,3.0,3.109375,3.0,3.109375,2.2611958980560303,964800
1993-12-16,3.125,3.140625,3.09375,3.09375,2.2498340606689453,52800
1993-12-17,3.09375,3.109375,3.078125,3.109375,2.2611958980560303,27200
1993-12-20,3.109375,3.125,3.09375,3.09375,2.2498340606689453,37600
1993-12-21,3.09375,3.125,3.0625,3.125,2.272559404373169,421600
1993-12-22,3.140625,3.1875,3.140625,3.1875,2.318010091781616,520800
1993-12-23,3.1875,3.1875,3.171875,3.1875,2.318010091781616,31200
1993-12-27,3.1875,3.3125,3.1875,3.3125,2.4089109897613525,207200
1993-12-28,3.34375,3.375,3.34375,3.34375,2.431638240814209,170400
1993-12-29,3.34375,3.421875,3.34375,3.421875,2.488452196121216,220000
1993-12-30,3.40625,3.40625,3.359375,3.359375,2.4430010318756104,404000
1993-12-31,3.375,3.5,3.375,3.5,2.5452659130096436,269600
1994-01-03,3.46875,3.46875,3.375,3.375,2.454364061355591,879200
1994-01-04,3.359375,3.40625,3.359375,3.375,2.454364061355591,27200
1994-01-05,3.375,3.46875,3.34375,3.4375,2.49981427192688,119200
1994-01-06,3.4375,3.46875,3.390625,3.4375,2.49981427192688,127200
1994-01-07,3.40625,3.40625,3.359375,3.375,2.454364061355591,78400
1994-01-10,3.375,3.375,3.34375,3.359375,2.4430010318756104,404800
1994-01-11,3.34375,3.359375,3.34375,3.34375,2.431638240814209,344800
1994-01-12,3.3125,3.375,3.296875,3.375,2.454364061355591,329600
1994-01-13,3.375,3.375,3.328125,3.359375,2.4430010318756104,64000
1994-01-14,3.375,3.40625,3.359375,3.40625,2.4770898818969727,170400
1994-01-17,3.40625,3.4375,3.390625,3.4375,2.49981427192688,87200
1994-01-18,3.46875,3.5625,3.46875,3.5625,2.59071683883667,196800
1994-01-19,3.53125,3.59375,3.53125,3.59375,2.6134440898895264,132800
1994-01-20,3.59375,3.671875,3.59375,3.671875,2.6702563762664795,119200
1994-01-21,3.65625,3.78125,3.640625,3.75,2.7270710468292236,209600
1994-01-24,3.78125,3.84375,3.75,3.78125,2.749795913696289,1111200
1994-01-25,3.765625,3.765625,3.71875,3.75,2.7270710468292236,252800
1994-01-26,3.71875,3.78125,3.71875,3.78125,2.761301040649414,196000
1994-01-27,3.78125,3.859375,3.78125,3.859375,2.8183534145355225,272000
1994-01-28,3.84375,3.84375,3.765625,3.84375,2.8069427013397217,228000
1994-01-31,3.8125,4.09375,3.8125,4.09375,2.989509105682373,601600
1994-02-01,4.078125,4.078125,3.96875,3.96875,2.898226022720337,346400
1994-02-02,3.96875,4.0,3.953125,3.953125,2.886815071105957,84800
1994-02-03,3.9375,3.96875,3.9375,3.96875,2.898226022720337,118400
1994-02-04,4.0625,4.078125,4.0,4.015625,2.9324569702148438,390400
1994-02-07,3.96875,4.03125,3.9375,4.03125,2.943866729736328,148800
1994-02-08,4.03125,4.09375,4.0,4.09375,2.989509105682373,654400
1994-02-09,4.125,4.21875,4.125,4.1875,3.0579702854156494,1688000
1994-02-10,4.1875,4.1875,4.078125,4.109375,3.00091814994812,215200
1994-02-11,4.078125,4.078125,4.0,4.0,2.921046733856201,69600
1994-02-14,3.96875,3.96875,3.875,3.90625,2.8525850772857666,291200
1994-02-15,3.90625,3.90625,3.796875,3.796875,2.772712230682373,45600
1994-02-16,3.765625,3.828125,3.765625,3.828125,2.7955334186553955,400000
1994-02-17,3.796875,3.90625,3.796875,3.90625,2.8525850772857666,119200
1994-02-18,3.9375,3.984375,3.9375,3.9375,2.8754050731658936,174400
1994-02-22,3.96875,4.0,3.96875,4.0,2.921046733856201,34400
1994-02-23,3.96875,3.96875,3.890625,3.890625,2.8411741256713867,38400
1994-02-24,3.921875,3.921875,3.8125,3.859375,2.8183534145355225,344000
1994-02-25,3.8125,3.8125,3.78125,3.78125,2.761301040649414,34400
1994-02-28,3.75,3.84375,3.71875,3.84375,2.8069427013397217,163200
1994-03-01,3.84375,3.875,3.78125,3.8125,2.7841224670410156,242400
1994-03-02,3.75,3.765625,3.6875,3.765625,2.7498910427093506,215200
1994-03-03,3.734375,3.78125,3.71875,3.75,2.7384800910949707,587200
1994-03-04,3.75,3.78125,3.75,3.75,2.7384800910949707,207200
1994-03-07,3.78125,3.859375,3.78125,3.84375,2.8069427013397217,68000
1994-03-08,3.859375,4.0,3.859375,4.0,2.921046733856201,116000
1994-03-09,3.984375,4.09375,3.9375,4.0625,2.966686487197876,187200
1994-03-10,4.09375,4.09375,4.0625,4.0625,2.966686487197876,7200
1994-03-11,4.0625,4.0625,4.0625,4.0625,2.966686487197876,212000
1994-03-14,4.0625,4.09375,4.03125,4.078125,2.978098154067993,163200
1994-03-15,4.09375,4.125,4.09375,4.125,3.012329339981079,36800
1994-03-16,4.125,4.203125,4.125,4.1875,3.0579702854156494,183200
1994-03-17,4.203125,4.21875,4.171875,4.21875,3.0807905197143555,100800
1994-03-18,4.234375,4.25,4.203125,4.203125,3.069380521774292,119200
1994-03-21,4.21875,4.21875,4.140625,4.15625,3.035149335861206,31200
1994-03-22,4.125,4.125,4.03125,4.109375,3.00091814994812,111200
1994-03-23,4.078125,4.125,4.078125,4.125,3.012329339981079,55200
1994-03-24,4.109375,4.109375,4.03125,4.0625,2.966686487197876,330400
1994-03-25,4.078125,4.078125,4.015625,4.0625,2.966686487197876,123200
